legacy_id,centre,d,cluster,id,name,latitude,longitude,type,type_norm
180262,0,496.011380901346,95,12653,"Rua Robert Redzimski, 190 - Cidade Industrial",-25.457290504784,-49.349505336232,Domus,Street bus stop
180263,0,160.392376586284,95,12654,"Rua Luís Tramontin, 2378 - Campo Comprido",-25.461239276244,-49.343786190537,Chapéu chinês,Street bus stop
180264,0,187.430445575835,95,12655,"Rua Luís Tramontin, 2378 - Campo Comprido",-25.461344620278,-49.343489806441,Chapéu chinês,Street bus stop
180265,0,375.793314893908,95,12656,"Rua Luís Tramontin, 2058 - Campo Comprido",-25.46008169664,-49.340831737307006,Chapéu chinês,Street bus stop
180266,0,394.115024181264,95,12657,"Rua Luís Tramontin, 2059 - Campo Comprido",-25.460167667893,-49.340610455064,Chapéu chinês,Street bus stop
180564,0,477.585900370988,95,12937,"Rua Chapecó, 229 - Cidade Industrial",-25.464601763882,-49.344926129368,Chapéu chinês,Street bus stop
180565,0,458.847010033511,95,12938,"Rua Chapecó, 32 - Cidade Industrial",-25.464094430211,-49.343074064044,Chapéu chinês,Street bus stop
180566,0,555.133128647226,95,12939,"Rua Araranguá, 320 - Cidade Industrial",-25.464533958074,-49.341751734999,Chapéu chinês,Street bus stop
180650,0,327.354850738797,95,13004,"Rua Fioravante Bagio, 2 - Cidade Industrial",-25.463179397897,-49.346103086134,Sem demarcação,Street bus stop
180658,0,373.285801085845,95,13010,"Rua Luís Casagrande, 363 - Cidade Industrial",-25.462615625929,-49.348413007865,Chapéu chinês,Street bus stop
180659,0,337.072745912032,95,13011,"Rua Fioravante Bagio, 1 - Cidade Industrial",-25.463279724806,-49.34603959322,Placa em cano,Street bus stop
180717,0,560.347034444196,95,13048,"Rua Araranguá, 321 - Cidade Industrial",-25.464575125891,-49.3417222307,Sem demarcação,Street bus stop
180718,0,466.380350978026,95,13049,"Rua Chapecó, 33 - Cidade Industrial",-25.464159814623,-49.343048583058,Sem demarcação,Street bus stop
180719,0,487.324615844803,95,13050,"Rua Chapecó, 228- Cidade Industrial",-25.464687731906,-49.344885896233,Sem demarcação,Street bus stop
180731,0,522.071322059989,95,13061,"Rua Deputado Paulo Wright, 32 - Cidade Industrial",-25.45753026101,-49.350158454126,Placa em cano,Street bus stop
109072,1,0.0,96,7772,Estação Tubo Vila São Pedro,-25.512831380230995,-49.279856561707994,Estação tubo,Tube station
150197,0,590.104980676256,96,10498,"Rua Primeiro de Maio, 1369 - Xaxim",-25.516246006259,-49.274561952301006,Novo mobiliário,Street bus stop
150198,0,217.924709117436,96,10499,"Rua Primeiro de Maio, 976 - Xaxim",-25.514045665354,-49.277851681658,Novo mobiliário,Street bus stop
150325,0,528.732203502897,96,10625,"Rua Omar Raymundo Picheth, 1151 - Xaxim",-25.512402796898,-49.27368475215,Novo mobiliário,Street bus stop
150326,0,395.539675346264,96,10626,"Rua Omar Raymundo Picheth, 913 - Xaxim",-25.510865792969,-49.275992682209,Novo mobiliário,Street bus stop
150327,0,403.281582570999,96,10627,"Rua Omar Raymundo Picheth, 575 - Xaxim",-25.509461759267,-49.27810839633,Novo mobiliário,Street bus stop
150350,0,181.864098027504,96,10649,"Rua Barão de Santo Ângelo, 662 - Xaxim",-25.511347896532,-49.278959038029,Novo mobiliário,Street bus stop
150351,0,264.592776780495,96,10650,"Rua Barão de Santo Ângelo, 957 - Xaxim",-25.512784900367,-49.276755976686,Novo mobiliário,Street bus stop
150352,0,461.737098804701,96,10651,"Rua Barão de Santo Ângelo, 1182 - Xaxim",-25.514140059491,-49.274720495701,Novo mobiliário,Street bus stop
150369,0,453.793409924179,96,10668,"Rua Primeiro de Maio, 1168 - Xaxim",-25.515546452302,-49.27588562245,Placa em cano,Street bus stop
150444,0,491.059057890452,96,10738,"Rua Odenir Silveira, 305 - Xaxim",-25.514460084439,-49.274506748861,Chapéu chinês,Street bus stop
150445,0,537.560652323758,96,10739,"Rua José Osíres Baglioli, 1 - Pinheirinho",-25.516210187812,-49.275350303596,Novo mobiliário,Street bus stop
150446,0,530.40585764052,96,10740,"Rua José Osíres Baglioli, 20 - Pinheirinho",-25.516247707038,-49.27551794166,Novo mobiliário,Street bus stop
150727,0,156.263370470433,96,10966,"Rua Primeiro de Maio, 498 -Xaxim",-25.511939085572,-49.281271498152,Placa em cano,Street bus stop
150728,0,231.455194513134,96,10967,"Rua Primeiro de Maio, 975 - Xaxim",-25.514219951253,-49.277835588404,Sem demarcação,Street bus stop
150837,0,573.935381580444,96,11023,"Rua Helena C. S. Corrêa, 196 - Pinheirinho",-25.517720969845,-49.282011240721,Chapéu chinês,Street bus stop
150882,0,331.104247375407,96,11061,"Rua Cid Marcondes de Albuquerque, 598 - Pinheirinho",-25.514543330914,-49.283031821251,Chapéu chinês,Street bus stop
150883,0,456.547300374793,96,11062,"R. Wilson Stadler, 158-180 - Pinheirinho",-25.516281391651,-49.282757731505,Chapéu chinês,Street bus stop
180217,1,0.0,97,12608,"Rua João Dembinski, 542 - Cidade Industrial",-25.454351755815,-49.348980288295,Novo mobiliário,Street bus stop
180256,0,318.115711476969,97,12647,"Rua Robert Redzimski, 504 - Cidade Industrial",-25.456005742328,-49.35202393049601,Domus,Street bus stop
180257,0,330.414089209582,97,12648,"Rua Robert Redzimski, 505 - Cidade Industrial",-25.456123199974,-49.35209098572201,Chapéu chinês,Street bus stop
181059,0,599.808452650898,97,13282,"Rua Juvino Ransolim , oposto ao n 646 - Campo Comprido",-25.450718345918,-49.343781913822,Chapéu chinês,Street bus stop
181060,0,593.485374981606,97,13283,"Rua Juvino Ransolim, nº 628 ""2"" - Campo Comprido",-25.450719599499,-49.343881155555,Chapéu chinês,Street bus stop
181061,0,450.339848315299,97,13284,"Rua Jaziel Sotto Maior Lagos , oposto ao n 70 - Campo Comprido",-25.453012442643,-49.343996757159,Chapéu chinês,Street bus stop
181062,0,441.86805273801,97,13285,"Rua Jaziel Sotto Maior Lagos, proximo ao nº 70 - Campo Comprido.",-25.452986238823,-49.34411450774,Chapéu chinês,Street bus stop
181063,0,295.108131077997,97,13286,"Rua Frei Lívio Panizza , ao lado do n 378 - Campo Comprido",-25.453989977336,-49.345552171772,Chapéu chinês,Street bus stop
181064,0,291.780671430266,97,13287,"Rua Frei Lívio Panizza, nº 351 - Campo Comprido",-25.45388909341,-49.345612491219,Chapéu chinês,Street bus stop
181073,0,532.83503437799,97,15384,"R. Dep. Paulo Wright, 282 - Cidade Industrial de Curitiba",-25.458519911461,-49.35206276328,Placa em cano,Street bus stop
150023,0,496.03232947564,98,10337,"Av. Pres. Kennedy, 3683 - Portão",-25.474786053576,-49.288743906746,Novo mobiliário,Street bus stop
